B03002.yaml "hispanic_race_population" "Hispanic Population"
B01003.yaml "total_population" "Population"
B05001.yaml "citizenship_status_population" "Citizenship Status"
B05004.yaml "citizenship_median_age" "Median Age by Citizenship"
B05006.yaml "foreign_born_population" "Foreign-Born Citizens"
B06001.yaml "place_of_birth_population" "Birthplace"
B08013-mean-transportation.yaml "mean_transportation_time_to_work_minutes" "Average Commute Time"
B08006-mean-transportation.yaml "mean_transportation_time_to_work_minutes" "Average Commute Time"
B08013.yaml "aggregate_travel_time_to_work_minutes" "Total Commute Time"
B08014.yaml "vehicles_available_population" "Commute Means by Gender"
B08136.yaml "aggregate_travel_time_to_work_minutes" "Total Commute Time"
B08301.yaml "means_of_work_transportation_population" "Commute Means"
B08303.yaml "minutes" "Commute Time"
B16001.yaml "language_population" "Languages Spoken"
B08006.yaml "work_transportation_population" "Commute Means by Gender"
B16001_2016.yaml "language_population" "Languages Spoken"
B17001_poverty_sex_age.yaml "poverty_status_population" "Population in Poverty"
B19013.yaml "household_income_dollars" "Household Income by Race"
B19013A.yaml "household_income_dollars" "Household Income by Race"
B19013B.yaml "household_income_dollars" "Household Income by Race"
B19001.yaml "income_households" "Household Income"
B19013C.yaml "household_income_dollars" "Household Income by Race"
B19013F.yaml "household_income_dollars" "Household Income by Race"
B19013E.yaml "household_income_dollars" "Household Income by Race"
B19013H.yaml "household_income_dollars" "Household Income by Race"
B19013I.yaml "household_income_dollars" "Household Income by Race"
B19013G.yaml "household_income_dollars" "Household Income by Race"
B19083.yaml "gini" "Wage GINI"
B25003.yaml "tenure_population" "Household Ownership"
B25075.yaml "housing_units" "Property Value by Bucket"
B19013D.yaml "household_income_dollars" "Household Income by Race"
B25077.yaml "housing_median_value" "Property Value"
B25102.yaml "mortgage_status_population" "Real Estate Taxes by Mortgage"
B27001.yaml "health_insurance_coverage_population" "Health Insurance by Gender and Age"
B27003-concat.yaml "health_care_coverage_population" "Health Insurance by Gender and Age"
B27004-concat.yaml "health_care_coverage_population" "Health Insurance by Gender and Age"
B21002_veterans.yaml "veteran_population" "Veterans"
B27005-concat.yaml "health_care_coverage_population" "Health Insurance by Gender and Age"
B27006-concat.yaml "health_care_coverage_population" "Health Insurance by Gender and Age"
B27008-concat.yaml "health_care_coverage_population" "Health Insurance by Gender and Age"
C24010.yaml "occupation_population" "Workforce by Occupation and Gender"
C24030.yaml "industry_population" "Workforce by Industry and Gender"
poverty-sex-age-asianalone.yaml "population" "Population in Poverty by Gender, Age, and Race"
poverty-sex-age-blackalone.yaml "population" "Population in Poverty by Gender, Age, and Race"
B27002-concat.yaml "health_care_coverage_population" "Population in Poverty by Gender, Age, and Race"
poverty-sex-age-hispanic.yaml "population" "Population in Poverty by Gender, Age, and Race"
poverty-sex-age-nativealone.yaml "population" "Population in Poverty by Gender, Age, and Race"
poverty-sex-age-pacificislanderalone.yaml "population" "Population in Poverty by Gender, Age, and Race"
B27009-concat.yaml "health_care_coverage_population" "Health Insurance by Gender and Age"
B27007-concat.yaml "health_care_coverage_population" "Health Insurance by Gender and Age"
poverty-sex-age-twoormore.yaml "population" "Population in Poverty by Gender, Age, and Race"
poverty-sex-age-whitealone.yaml "population" "Population in Poverty by Gender, Age, and Race"
health/B25048.yaml "occupied_households" "Households by Plumbing Type"
health/B25052.yaml "occupied_households" "Households by Kitchen Type"
health/B25074.yaml "renter_population" "Renters by Income Percentage"
health/B25092.yaml "housing_unit_with_mortgage" "Homeowners by Mortgage"
poverty-sex-age-otheralone.yaml "population" "Population in Poverty by Gender, Age, and Race"
health/B27010.yaml "health_care_coverage_population" "Health Insurance"
health/B28002.yaml "internet_households" "Households by Internet Access"
health/C25074.yaml "renters_population" "Renters by Income Percentage"
ygio/B24011.yaml "occupation_median_earnings" "Median Earnings by Occupation"
poverty-sex-age-whitealonenothispanic.yaml "population" "Population in Poverty by Gender, Age, and Race"
ygio/B24012.yaml occupation_median_earnings" "Median Earnings by Occupation and Gender"
ygio/B24032.yaml industry_median_earnings_dollars" "Median Earnings by Industry and Gender"
ygio/B24030.yaml industry_population" "Workforce by Industry and Gender"
ygio/C24010.yaml occupation_population" "Workforce by Occupation and Gender"
ygio/C24030.yaml industry_population" "Workforce by Industry and Gender"
ygio/B24031.yaml "industry_median_earnings_dollars" "Median Earnings by Industry"
