Bedford city, VA;05000US51515
Wade Hampton Census Area, AK;05000US02270
Shannon County, SD;05000US46113
Los Angeles-Long Beach-Santa Ana, CA Metro Area;31000US31100
Santa Barbara-Santa Maria-Goleta, CA Metro Area;31000US42060
Honolulu, HI Metro Area;31000US26180
Bloomington-Normal, IL Metro Area;31000US14060
Anderson, IN Metro Area;31000US11300
Lafayette, IN Metro Area;31000US29140
Holland-Grand Haven, MI Metro Area;31000US26100
Anderson, SC Metro Area;31000US11340
Pendleton-Hermiston, OR Micro Area;31000US37820
Chester, SC Micro Area;31000US16900
Lancaster, SC Micro Area;31000US29580
Union, SC Micro Area;31000US46420
Dillon, SC Micro Area;31000US19900
Walterboro, SC Micro Area;31000US47500
La Follette, TN Micro Area;31000US29220
Columbia, TN Micro Area;31000US17940
Granbury, TX Micro Area;31000US24180
Brigham City, UT Micro Area;31000US14940
Oak Hill, WV Micro Area;31000US36060
Monroe, WI Micro Area;31000US33820
Lebanon, NH-VT Micro Area;31000US30100
Kodiak, AK Micro Area;31000US28980
Bishop, CA Micro Area;31000US13860
Phoenix Lake-Cedar Ridge, CA Micro Area;31000US38020
Silverthorne, CO Micro Area;31000US43540
Willimantic, CT Micro Area;31000US48740
Seaford, DE Micro Area;31000US42580
Palm Coast, FL Metro Area;31000US37380
Harrisburg, IL Micro Area;31000US25380
Marion-Herrin, IL Micro Area;31000US32060
Scottsburg, IN Micro Area;31000US42500
Winfield, KS Micro Area;31000US49060
Corbin, KY Micro Area;31000US18340
Pierre Part, LA Micro Area;31000US38200
Abbeville, LA Micro Area;31000US10020
Crowley, LA Micro Area;31000US18940
New Iberia, LA Micro Area;31000US35340
Minden, LA Micro Area;31000US33380
Tallulah, LA Micro Area;31000US45260
Rockland, ME Micro Area;31000US40500
Ocean Pines, MD Micro Area;31000US36180
Lexington Park, MD Micro Area;31000US30500
Allegan, MI Micro Area;31000US10880
Yazoo City, MS Micro Area;31000US49540
Havre, MT Micro Area;31000US25660
Lincolnton, NC Micro Area;31000US30740
Salisbury, NC Micro Area;31000US41580
Statesville-Mooresville, NC Micro Area;31000US44380
Southern Pines-Pinehurst, NC Micro Area;31000US43860
East Liverpool-Salem, OH Micro Area;31000US20620
Pascagoula, MS Metro Area;31000US37700
Poughkeepsie-Newburgh-Middletown, NY Metro Area;31000US39100
Harriman, TN Micro Area;31000US25340
Fort Valley, GA Micro Area;31000US22980
Tuskegee, AL Micro Area;31000US46260
Humboldt, TN Micro Area;31000US26480
Thomasville-Lexington, NC Micro Area;31000US45640
Culpeper, VA Micro Area;31000US19020
Marshfield-Wisconsin Rapids, WI Micro Area;31000US32270
